      变坡点X,      变坡点Y,     曲线半径r
        53.21,        74.08,
        36.78,        74.08,         14.51
        38.53,        41.76,        108.30
        41.36,        25.20,         36.10
        50.69,         7.01,          9.85
        74.15,        19.15,        108.30
        90.78,        24.68,        108.30
       105.88,        31.97,        108.30
       119.94,        40.89,         12.03
       118.50,        83.76,        108.30
       110.58,       132.04,          7.22
        95.52,       130.29,        108.30
        88.26,       130.29,
