ID,X,Y,Z
0,3.00,46.00,9.66
1,3.00,47.00,9.24
2,3.00,48.00,8.83
3,3.00,49.00,8.41
4,3.00,50.00,8.00
5,3.00,51.00,8.41
6,3.00,52.00,8.83
7,3.00,53.00,9.24
8,4.00,45.00,9.07
9,4.00,46.00,8.66
10,4.00,47.00,8.24
11,4.00,48.00,7.83
12,4.00,49.00,7.41
13,4.00,50.00,7.00
14,4.00,51.00,7.41
15,4.00,52.00,7.83
16,4.00,53.00,8.24
17,4.00,54.00,8.66
18,4.00,55.00,9.07
19,5.00,44.00,8.49
20,5.00,45.00,8.07
21,5.00,46.00,7.66
22,5.00,47.00,7.24
23,5.00,48.00,6.83
24,5.00,49.00,6.41
25,5.00,50.00,6.00
26,5.00,51.00,6.41
27,5.00,52.00,6.83
28,5.00,53.00,7.24
29,5.00,54.00,7.66
30,5.00,55.00,8.07
31,5.00,56.00,8.49
32,6.00,43.00,9.07
33,6.00,44.00,8.07
34,6.00,45.00,7.07
35,6.00,46.00,6.66
36,6.00,47.00,6.24
37,6.00,48.00,5.83
38,6.00,49.00,5.41
39,6.00,50.00,5.00
40,6.00,51.00,5.41
41,6.00,52.00,5.83
42,6.00,53.00,6.24
43,6.00,54.00,6.66
44,6.00,55.00,7.07
45,6.00,56.00,8.07
46,6.00,57.00,9.07
47,7.00,42.00,9.66
48,7.00,43.00,8.66
49,7.00,44.00,7.66
50,7.00,45.00,6.66
51,7.00,46.00,5.66
52,7.00,47.00,5.24
53,7.00,48.00,4.83
54,7.00,49.00,4.41
55,7.00,50.00,4.00
56,7.00,51.00,4.41
57,7.00,52.00,4.83
58,7.00,53.00,5.24
59,7.00,54.00,5.66
60,7.00,55.00,6.66
61,7.00,56.00,7.66
62,7.00,57.00,8.66
63,8.00,42.00,9.24
64,8.00,43.00,8.24
65,8.00,44.00,7.24
66,8.00,45.00,6.24
67,8.00,46.00,5.24
68,8.00,47.00,4.24
69,8.00,48.00,3.83
70,8.00,49.00,3.41
71,8.00,50.00,3.00
72,8.00,51.00,3.41
73,8.00,52.00,3.83
74,8.00,53.00,4.24
75,8.00,54.00,5.24
76,8.00,55.00,6.24
77,8.00,56.00,7.24
78,8.00,57.00,8.24
79,8.00,58.00,9.24
80,9.00,41.00,9.83
81,9.00,42.00,8.83
82,9.00,43.00,7.83
83,9.00,44.00,6.83
84,9.00,45.00,5.83
85,9.00,46.00,4.83
86,9.00,47.00,3.83
87,9.00,48.00,2.83
88,9.00,49.00,2.41
89,9.00,50.00,2.00
90,9.00,51.00,2.41
91,9.00,52.00,2.83
92,9.00,53.00,3.83
93,9.00,54.00,4.83
94,9.00,55.00,5.83
95,9.00,56.00,6.83
96,9.00,57.00,7.83
97,9.00,58.00,8.83
98,10.00,41.00,9.41
99,10.00,42.00,8.41
100,10.00,43.00,7.41
101,10.00,44.00,6.41
102,10.00,45.00,5.41
103,10.00,46.00,4.41
104,10.00,47.00,3.41
105,10.00,48.00,2.41
106,10.00,49.00,1.41
107,10.00,50.00,1.00
108,10.00,51.00,1.41
109,10.00,52.00,2.41
110,10.00,53.00,3.41
111,10.00,54.00,4.41
112,10.00,55.00,5.41
113,10.00,56.00,6.41
114,10.00,57.00,7.41
115,10.00,58.00,8.41
116,11.00,41.00,9.00
117,11.00,42.00,8.00
118,11.00,43.00,7.00
119,11.00,44.00,6.00
120,11.00,45.00,5.00
121,11.00,46.00,4.00
122,11.00,47.00,3.00
123,11.00,48.00,2.00
124,11.00,49.00,1.00
125,11.00,50.00,0.00
126,11.00,51.00,1.00
127,11.00,52.00,2.00
128,11.00,53.00,3.00
129,11.00,54.00,4.00
130,11.00,55.00,5.00
131,11.00,56.00,6.00
132,11.00,57.00,7.00
133,11.00,58.00,8.00
134,12.00,41.00,8.83
135,12.00,42.00,7.83
136,12.00,43.00,6.83
137,12.00,44.00,5.83
138,12.00,45.00,4.83
139,12.00,46.00,3.83
140,12.00,47.00,2.83
141,12.00,48.00,2.00
142,12.00,49.00,1.00
143,12.00,50.00,0.00
144,12.00,51.00,1.00
145,12.00,52.00,2.00
146,12.00,53.00,3.00
147,12.00,54.00,4.00
148,12.00,55.00,5.00
149,12.00,56.00,6.00
150,12.00,57.00,7.00
151,12.00,58.00,8.00
152,13.00,41.00,8.41
153,13.00,42.00,7.41
154,13.00,43.00,6.41
155,13.00,44.00,5.41
156,13.00,45.00,4.41
157,13.00,46.00,3.41
158,13.00,47.00,2.41
159,13.00,48.00,1.41
160,13.00,49.00,1.00
161,13.00,50.00,0.00
162,13.00,51.00,1.00
163,13.00,52.00,2.00
164,13.00,53.00,3.00
165,13.00,54.00,4.00
166,13.00,55.00,5.00
